paper,section,original_url,normalized_url,domain,extension,is_data_extension
1707.02919v2.pdf,target,https://www.emc.com/collateral/analyst-reports/idc-the-digital-universe-in-2020.pdf,https://emc.com/collateral/analyst-reports/idc-the-digital-universe-in-2020.pdf,emc.com,.pdf,False
1707.02919v2.pdf,body,http://www.crisp-dm.org/,http://crisp-dm.org/,crisp-dm.org,,False
1707.02919v2.pdf,body,http://en.wikipedia.org/wiki/Statistics,http://en.wikipedia.org/wiki/Statistics,en.wikipedia.org,,False
1707.02919v2.pdf,body,http://www.cs.waikato.ac.nz/ml/weka/,http://cs.waikato.ac.nz/ml/weka,cs.waikato.ac.nz,,False
1707.02919v2.pdf,body,http://www.obofoundry.org/,http://obofoundry.org/,obofoundry.org,,False
1707.02919v2.pdf,body,http://www.bioontology.org/,http://bioontology.org/,bioontology.org,,False
1707.02919v2.pdf,body,http://bioportal.bioontology.org/,http://bioportal.bioontology.org/,bioportal.bioontology.org,,False
1707.02919v2.pdf,body,https://uts.nlm.nih.gov/home.html,https://uts.nlm.nih.gov/home.html,uts.nlm.nih.gov,.html,False
1707.02919v2.pdf,body,http://www.pharmgkb.org/,http://pharmgkb.org/,pharmgkb.org,,False
1707.02919v2.pdf,note,https://doi.org/10,https://doi.org/10,doi.org,,False
1707.02919v2.pdf,note,https://www.emc.com/collateral/analyst-reports/,https://emc.com/collateral/analyst-reports,emc.com,,False
1708.05031v2.pdf,doi,10.1145/3038912.3052569,https://doi.org/10.1145/3038912.3052569,doi.org,.3052569,False
1708.05031v2.pdf,body,http://alex.smola.org/teaching/berkeley2012/slides/8_,http://alex.smola.org/teaching/berkeley2012/slides/8_,alex.smola.org,,False
1708.05031v2.pdf,body,http://grouplens.org/datasets/movielens/1m/,http://grouplens.org/datasets/movielens/1m,grouplens.org,,False
1708.05031v2.pdf,body,https://sites.google.com/site/xueatalphabeta/,https://sites.google.com/site/xueatalphabeta,sites.google.com,,False
1708.05031v2.pdf,body,https://github.com/hexiangnan/neural_,https://github.com/hexiangnan/neural_,github.com,,False
1710.10903v3.pdf,target,https://www.tensorflow.org/.Softwareavail-ablefromtensorflow.org,https://tensorflow.org,tensorflow.org,,False
1710.10903v3.pdf,target,http://arxiv.org/abs/1611.02344,https://arxiv.org/abs/1611.02344,arxiv.org,.02344,False
1710.10903v3.pdf,target,http://papers.nips.cc/paper/6863-vain-attentional-multi-agent-predictive-modeling.pdf,http://papers.nips.cc/paper/6863-vain-attentional-multi-agent-predictive-modeling.pdf,papers.nips.cc,.pdf,False
1710.10903v3.pdf,target,http://arxiv.org/abs/1410.3916,https://arxiv.org/abs/1410.3916,arxiv.org,.3916,False
1710.10903v3.pdf,doi,10.1109/72.572108,https://doi.org/10.1109/72.572108,doi.org,.572108,False
1710.10903v3.pdf,body,https://github.com/PetarV-/GAT,https://github.com/PetarV-/GAT,github.com,,False
1710.10903v3.pdf,note,http://papers.nips.cc/paper/,http://papers.nips.cc/paper,papers.nips.cc,,False
1810.04805v2.pdf,target,https://github.com/google-research/bert,https://github.com/google-research/bert,github.com,,False
1810.04805v2.pdf,target,https://gluebenchmark.com/leaderboard,https://gluebenchmark.com/leaderboard,gluebenchmark.com,,False
1810.04805v2.pdf,doi,10.18653/v1/S17-2001,https://doi.org/10.18653/v1/S17-2001,doi.org,,False
1810.04805v2.pdf,body,https://cloudplatform.googleblog.com/2018/06/Cloud-TPU-now-offers-preemptible-pricing-and-globalavailability.html•,https://cloudplatform.googleblog.com/2018/06/Cloud-TPU-now-offers-preemptible-pricing-and-globalavailability.html,cloudplatform.googleblog.com,.html,False
1810.04805v2.pdf,body,http://nlp.seas.harvard.edu/2018/04/03/attention.html,http://nlp.seas.harvard.edu/2018/04/03/attention.html,nlp.seas.harvard.edu,.html,False
1810.04805v2.pdf,body,https://gluebenchmark.com/faq,https://gluebenchmark.com/faq,gluebenchmark.com,,False
1812.08434v6.pdf,target,https://github.com/ShinKyuY/Representation_Learning_on_Graphs_with_Jumping_Knowledge_Networks,https://github.com/ShinKyuY/Representation_Learning_on_Graphs_with_Jumping_Knowledge_Networks,github.com,,False
1812.08434v6.pdf,target,https://github.com/Hanjun-Dai/steady_state_embedding,https://github.com/Hanjun-Dai/steady_state_embedding,github.com,,False
1812.08434v6.pdf,target,https://github.com/divelab/lgcn/,https://github.com/divelab/lgcn,github.com,,False
1812.08434v6.pdf,target,https://github.com/matenure/FastGCN,https://github.com/matenure/FastGCN,github.com,,False
1812.08434v6.pdf,target,https://github.com/RexYing/diffpool,https://github.com/RexYing/diffpool,github.com,,False
1812.08434v6.pdf,target,https://github.com/snap-stanford/GraphRNN,https://github.com/snap-stanford/GraphRNN,github.com,,False
1812.08434v6.pdf,target,https://github.com/nicola-decao/MolGAN,https://github.com/nicola-decao/MolGAN,github.com,,False
1812.08434v6.pdf,target,https://github.com/danielzuegner/netgan,https://github.com/danielzuegner/netgan,github.com,,False
1812.08434v6.pdf,target,https://github.com/liyaguang/DCRNN,https://github.com/liyaguang/DCRNN,github.com,,False
1812.08434v6.pdf,target,https://github.com/yysijie/st-gcn,https://github.com/yysijie/st-gcn,github.com,,False
1812.08434v6.pdf,target,https://github.com/tkipf/relational-gcn,https://github.com/tkipf/relational-gcn,github.com,,False
1812.08434v6.pdf,target,https://github.com/huangwb/AS-GCN,https://github.com/huangwb/AS-GCN,github.com,,False
1812.08434v6.pdf,target,https://github.com/ZhuangCY/DGCN,https://github.com/ZhuangCY/DGCN,github.com,,False
1812.08434v6.pdf,target,https://github.com/jennyzhang0215/GaAN,https://github.com/jennyzhang0215/GaAN,github.com,,False
1812.08434v6.pdf,target,https://github.com/PetarV-/DGI,https://github.com/PetarV-/DGI,github.com,,False
1812.08434v6.pdf,target,https://github.com/nnzhan/Graph-WaveNet,https://github.com/nnzhan/Graph-WaveNet,github.com,,False
1812.08434v6.pdf,target,https://github.com/Jhy1993/HAN,https://github.com/Jhy1993/HAN,github.com,,False
1812.08434v6.pdf,target,https://github.com/thunlp/gnnpapers,https://github.com/thunlp/gnnpapers,github.com,,False
1812.08434v6.pdf,target,https://doi.org/10.24963/ijcai.2017/250,https://doi.org/10.24963/ijcai.2017/250,doi.org,,False
1812.08434v6.pdf,target,http://socialcomputing.asu.edu,http://socialcomputing.asu.edu,socialcomputing.asu.edu,,False
1812.08434v6.pdf,doi,10.1016/j.aiopen.2021.01.001,https://doi.org/10.1016/j.aiopen.2021.01.001,doi.org,.001,False
1812.08434v6.pdf,back,https://github.com/thunlp/,https://github.com/thunlp,github.com,,False
1907.07374v5.pdf,target,http://www.heatmapping.org/slides/2018WCCI.pdf,http://heatmapping.org/slides/2018WCCI.pdf,heatmapping.org,.pdf,False
1907.07374v5.pdf,target,http://iphome.hhi.de/samek/pdf/MonICML16.pdf,http://iphome.hhi.de/samek/pdf/MonICML16.pdf,iphome.hhi.de,.pdf,False
1907.07374v5.pdf,target,https://pair-code.github.io/saliency/,https://pair-code.github.io/saliency,pair-code.github.io,,False
1907.07374v5.pdf,target,https://cs.stanford.edu/people/karpathy/cnnembed,https://cs.stanford.edu/people/karpathy/cnnembed,cs.stanford.edu,,False
1907.07374v5.pdf,target,https://distill.pub/2019/activation-atlas,https://distill.pub/2019/activation-atlas,distill.pub,,False
