Paper,Figure Count
1505.04597v1.pdf,7
1506.02640v5.pdf,13
1702.05373v2.pdf,9
1702.05747v2.pdf,15
1706.03762v7.pdf,9
1707.02919v2.pdf,4
1708.05031v2.pdf,12
1810.04805v2.pdf,14
1812.08434v6.pdf,9
1907.07374v5.pdf,7
NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf,7
TSP_IASC_36323.pdf,8
